ratinguser,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,ratingprop,good_label,conve_label,impre_label,superb_label,reviewamount,randomrate,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,cleanaccom,landmarknear,,,
8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,1,2,0,0,1,0,1,2,0,3,3,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               1.00        50      0.22308729  0.9878168  0.14734402
8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,1,1,1,0,0,0,0,2,0,-2,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               1.00       100      0.14107309  0.9950350  0.09409165
9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,2,1,0,0,2,0,2,1,3,3,0,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               1.00       150      0.10205395  0.9974143  0.06615899
8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,0,0,1,1,0,0,1,1,1,0,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               0.50        50      0.23143323  0.9870228  0.12029349
8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               0.50       100      0.18727946  0.9914382  0.08425105
10,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               0.50       150      0.17786282  0.9922128  0.07637469
8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,2,0,0,2,0,1,2,0,3,3,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               0.75        50      0.23966427  0.9863396  0.12857147
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               0.75       100      0.18697973  0.9913862  0.08621843
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               0.75       150      0.17286122  0.9924372  0.07633164
8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               1.00        50      0.22010629  0.9883423  0.10147070
8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,1,2,0,2,2,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               1.00       100      0.18148550  0.9917081  0.07314872
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,4,4,1,Taman Hutan Raya Juanda,,,  0.4  2          0.6               1.00       150      0.17062403  0.9925641  0.06598863
9.7,0,0,0,1,0,0,0,0,8.6,0,0,1,0,54,1,2,2,2,1,3,1,1,3,3,5,2,1,Sate Building,,,  0.4  2          0.8               0.50        50      0.21961770  0.9876408  0.10580075
9.4,0,0,0,1,0,0,0,0,8.6,0,0,1,0,4466,1,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.4  2          0.8               0.50       100      0.17368846  0.9922943  0.07363309
6,0,0,0,1,0,0,0,0,8.3,0,0,1,0,1583,1,0,0,0,0,1,0,0,1,0,1,1,1,Sate Building,,,  0.4  2          0.8               0.50       150      0.16133927  0.9933405  0.06769254
8.7,0,0,0,1,0,0,0,0,8.6,0,0,1,0,4187,1,0,1,0,0,3,0,0,2,0,3,3,1,Sate Building,,,  0.4  2          0.8               0.75        50      0.17130619  0.9927638  0.08036036
10,0,0,0,1,0,0,0,0,8.6,0,0,1,0,4187,1,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.4  2          0.8               0.75       100      0.14462561  0.9946642  0.05796855
8.5,0,0,0,1,0,0,0,0,8.8,0,0,1,0,1859,1,2,2,0,0,3,1,1,2,1,3,2,1,Sate Building,,,  0.4  2          0.8               0.75       150      0.14025909  0.9949426  0.05377082
6,0,0,0,1,0,0,0,0,7.6,0,1,0,0,866,1,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.4  2          0.8               1.00        50      0.19682319  0.9901422  0.08703054
9.3,0,0,0,1,0,0,0,0,8.5,0,0,1,0,1762,1,0,0,0,0,0,0,0,1,1,1,0,1,Sate Building,,,0.4  2          0.8               1.00       100      0.16870388  0.9923756  0.06433213
8.5,0,0,0,1,0,0,0,0,8.5,0,0,1,0,5306,1,0,0,0,0,1,0,0,1,0,1,1,1,Sate Building,,,  0.4  2          0.8               1.00       150      0.16057525  0.9929821  0.05895951
9.7,0,0,0,1,0,0,0,0,8.6,0,0,1,0,2093,1,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.4  3          0.6               0.50        50      0.29499018  0.9788267  0.12850790
